patent_number,patent_title,patent_date,patent_content,patent_nation,patent_url_num,patent_url,,,,,,,,,,,,,,,,,,,,,
20220383296,"NOVEL SECURITY RELATIONAL DISTRIBUTED LEDGER DATA BASE MANAGEMENT SYSTEM USING BLOCKCHAIN SECURITY, WITH DIGITAL WALLETS. TOKENS AND NON FUNGIBLE TOKENS IN AN EVIDENCE CHAIN OF CUSTODY (ECOIN OR VERITAS TOKEN) AND VALIDATION PROCESS FOR AN UNIQUE AND NOVEL ""PROOF OF TRUTH"" PROTOCOL.",01.12.2022,"NFTs are part of a new decentralized financial system or rather asset securitization. Even the minting of perpetual domain names by creating them as blockchain entities (ie, e-chain.nft for evidence chain domain under International-Judicial-Council.DAO (decentralized autonomous organization) rather than private individuals running public private government contracts.
Different Judicial Districts could set up their own mining (act of putting blocks on blockchain) rig to insulate the ECC (evidence custody coin) NFT from outside interference and becoming an independent blockchain node. This is very affordable from DIY to FullNode, plug and play, with many options.
Even in probate courts, and other similar venues, it is possible to create case specific wallets, including, not limited to Special Needs Wallets.
In writing this patent I realized that immutable boot up genesis blocks for robotics and artificial intelligence and sensor array monitoring based on immutable positioning and adjustments in space travel and celestial navigation are already within reach of this unique and novel protocol.
Coding is open source, ERC-20, -721, 1155 and combined as developed to create a chain of custody for all ?œProof of Truth??evidence or potential evidence with infinite descriptor fields, audio visual, digital double on an immutable and transparent blockchain ledger.
The combined elements of wallet, node and non-fungible tokens allow for this needed check on fraud and corruption.
A) Law and Government
Evidence chain of custody for all transactions in Law: Judicial, executive or legislative including all legal fictions and entities tied to immutable verification.
Programming and advertising propaganda and claims.
Barter, ticketing, expertising and anti-counterfeiting
(B) Food and Medicine
Medical, pharmaceutical and food tracking and testing and certification
(C) Artificial Intelligence, Robots and Exploration
Time clock functions for critical validation and validated updates.
Artificial Intelligence limits (breakpoint) for critical data, boot loaders and possible responses to assure compliance with programmed verifiable limits to behavioral automation, data integrity over time and record of changes that are immutable and transparent.
Cartography, maps and navigation
Monitoring sensor arrays in electromagnetic propulsion and guidance.
The Evidence NFT combined with in place tokenization and wallet storage options, is non-obvious to the average or even above-average person competent in crypto currencies and NFTs as the judicial system is not usually contemplated as being affected by the Blockchain. The combination is not a readily predictable result of the blockchain Revolution.
Evidence will be securitized as well as so many other processes having to do with legal subjects and practice as well as all other similar situations needing securitization of real-world goods, services and",US,G06Q 20/36,https://www.wipo.int/ipcpub/?symbol=G06Q0020360000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220383636,ARTIFICIAL INTELLIGENCE-ENABLED GOLF COURSE,01.12.2022,"A system for monitoring and recording and processing an activity includes one or more cameras for automatically recording video of the activity. A processor and memory associated and in communication with the camera is disposed near the location of the activity. The system may include AI logic configured to identify a user recorded within a video frame captured by the camera. The system may also detect and identify a user when the user is located within a predetermined area. The system may include a video processing engine configured to process images within the video frame to identify the user and may modify and format the video upon identifying the user and the activity. The system may include a communication module to communicate formatted video to a remote video processing system, which may further process the video and enable access to a mobile app of the user.",US,G06V 20/40,https://www.wipo.int/ipcpub/?symbol=G06V0020400000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,TABLE TENNIS GAME TRAINING DEVICE,25.11.2022,"A table tennis game training device, comprising a platform 1 assembled with multiple telescopically operated rods 2 to perform training regarding the game, an artificial intelligence based imaging unit 3 for determining height of user(s), a touch interactive display panel 4 for enabling the user to input details regarding level and mode of training, a cylindrical body 5 for launching the ball towards the user(s), a chamber 6 for storing balls, an iris lid 7 assembled for dispensing a ball, an electromagnetic spring 8 for expanding the spring 8 to launch the ball towards the user(s),multiple racket 9 for stroking the ball and a pneumatically operated clamp 10 with multiple links 11 for gripping a wrist portion of the user(s) for stroking of ball.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,POLE CLIMBING DEVICE,25.11.2022,"The present invention relates to a pole climbing device, comprises of a U-shaped telescopic frame 1 developed to be positioned in close proximity to a pole which the user wants to climb, a pair of suction cups 2 are attached underneath frame 1 for providing stability to frame 1 on surface, a pair of plates 3 electromagnetically attached with frame 1 for attaining a standing posture on plates 3 while climbing pole, an artificial intelligence enabled capturing module positioned on frame 1 for detecting height of user, a user interface installed within a computing unit associated with device for allowing user to provide input commands regarding halting of climbing operation, an inflatable component 12 equipped by user over a torso region during climbing for inflating component 12 in a manner to prevent any injury to user.",IN,B62D /,https://www.wipo.int/ipcpub/?symbol=B62D%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02211E+11,JAVELIN THROW TRAINING DEVICE,25.11.2022,"A javelin throw training device comprises of a pair of elongated frames 1 equipped with plurality of rings 2 to enable a user for passing a javelin from one of the rings 2 for performing aim training, a touch enabled screen 4 for selecting an expertise level of training, an artificial intelligence enabled image capturing module 5 to decode height of the user and according positioning the rings 2, a motorized slider 6 for translating each of the rings 2 in a to-and-fro motion, an LED (Light Emitting Diode) for indicating the user to pass the javelin from one of the rings 2 glowed with the LED, A motorized iris lid 7 to open/close in accordance to the user-selected expertise level, a speaker 9 for notifying regarding incorrect throw and a motorized wheel 8 is for positioning the rings 2 at an appropriate distance from the user.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02211E+11,ASSISTIVE ARM REHABILITATION DEVICE,25.11.2022,"An assistive arm rehabilitation device comprises of a C-shaped frame 1 having a first and second portion 2,3 attached with a flexible metallic wire 5 configured with a ring 6 to perform the exercise via moving ring 6 from one end to other of the wire 5, a touch interactive display panel 7 to select exercising level, multiple electromagnetic blocks 8 for changing orientation of wire 5, an artificial intelligence-based imaging module 9 for determining arm length of user, a pair of extendable U-shaped clamps 10 along with a slider 11 for placing user?™s arm and translating clamps 10, an iris lid 12 for altering diameter of hole of ring.",IN,A61H /,https://www.wipo.int/ipcpub/?symbol=A61H%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02211E+11,SKATING ASSISTIVE DEVICE,25.11.2022,"A skating assistive device comprises of a pair of circular body 1 configured with blocks 2 utilized by user to position foot, a pair of motorized wheels 3 attached to bodies 1 maneuver device as per requirement of user, a strap 4 configured with blocks 2 for securing user?™s feet over blocks 2, a pair of motorized clamps 5 installed over each block 2 for gripping user calf?™s portion, a computing unit linked with microcontroller accessed by user for selecting destination to travel and speed of skating, an artificial intelligence enabled image capturing module 6 detects presence of obstacle in a path for actuating a speaker 7 for alerting user, a pair of electromagnets fabricated on outer periphery of bodies 1 get energized to attached bodies 1 for providing passage to narrow path and a pressure sensor detects pressure exerted by user over blocks 2 for stopping device.",IN,A61H /,https://www.wipo.int/ipcpub/?symbol=A61H%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,FOOTBALL TRAINING DEVICE,25.11.2022,"A football training device, comprising a platform 1 installed with a circular frame 4 for providing a target structure that is to be aimed by a user, a motorized rack 5 stored with multiple footballs for allowing user to continue a football training, an artificial intelligence-based imaging unit 6 for capturing and processing images of user and actuates a holographic projection unit 7 for projecting a holographic image of a target object on frame 4, a telescopic rod 8 for extending in a manner to alter height of frame 4 in order to adjust intensity of training, a wearable component 9 developed to be equipped by user and actuates a motorized roller 10 attached via a string 11 in order roll and unroll string 11 to provide resistance to user, and plurality of impact sensors 12 for detecting area of impact of football on frame 4.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02221E+11,AN ARTIFICIAL INTELLIGENCE BASED HELMET FOR ACCIDENT DETECTION AND NOTIFICATION,25.11.2022,"ABSTRACT OF THE INVENTION Accidents caused by road hazards are more likely to happen when riding a bike. Potholes, sewer grates, railroad and trolley lines, and other road hazards are the ones most likely to result in bicycle accidents. Due to the obvious reasons that they have less surrounding safety than four-wheelers like vehicles, bikers are the most accident-prone individuals when it comes to suffering significant death injuries. Once he has his hands on his ride, every rider should be cautious, observant, and think that a traffic collision should be the very last thing that might happen to him and his ride. The frequency of accidents is increasing as there are more 2-wheeled motor vehicles on the road. Most fatalities happen either because the person wasn't wearing a helmet or because they were. To get around this, this invention suggests a smart helmet for preventing accidents and warning the wearer before an accident occurs. Alcohol/Gas sensor (MQ5) built into the helmet can determine whether the rider is intoxicated. In order to locate the rider and contact the closest emergency service in the event of an accident, the GSM and GPS have been incorporated to our project. Alcohol sensors can detect the presence of alcohol on a rider's breath. If the motor speed surpasses 100 km/h, an LED will flash. uses a cardiac pulse sensor to check the state of the human body (Heart Beat). The helmet has sensors that sense the environment and send signals to a microcontroller, such as an Arduino Board, to check the conditions. The RF module has a reception unit at the bike and a transmitter unit at the helmet where data is wirelessly transmitted. The two-wheeler battery or an external battery can supply the necessary energy for operation. The bike's buzzer alerts the other riders to the rider's aberrant condition if their heart rate increases or decreases while they are operating it. The rider's head and the cruiser's speed are determined separately by a Force Sensing Resistor (FSR) and a BLDC Fan. When an accident due to high speed is imminent, it will send the wearer an alert. This concept will help India develop in a safer and more secure manner. Just one step forward for the culture that requires smart helmet use while operating a motorcycle.",IN,A42B /,https://www.wipo.int/ipcpub/?symbol=A42B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,PORTABLE TENNIS TRAINING DEVICE,25.11.2022,"A portable tennis training device, comprising of a platform 1 developed to be positioned over a ground surface and arranged with multiple omnidirectional wheels 2 for maneuvering platform 1 on surface, an artificial intelligence based imaging unit 3 for capturing images of surroundings and determines location of a user and further actuates wheels 2 to move platform 1 towards user for performing tennis training, a touch interactive display panel 4 for enabling a user to input details regarding speed of ball and actuates a launching unit 5 for launching a ball positioned within launching unit 5, that is further hit by user via a tennis racket held by user, and a rope 6 connected to an electromagnetic spring 7 for providing resistance to rope 6 after launching, to increase difficulty experienced by user while hitting ball.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,FINGER EXERCISING DEVICE,25.11.2022,"A finger exercising device comprises of a cylindrical telescopically operated hollow body 1 for accommodating the fingers of the user, a first end 2 of the body 1 for enabling the entry of the finger, an artificial intelligence enabled image capturing module 4 to capture multiple images, a set of rings 5 to allow the positioning of the fingers , multiple pneumatic pins 6 for enabling the extraction/retraction of rings 5, a microphone 7 for giving the input command regarding the type of exercise, a couple of motorized hinges 8 for allowing the rings 5 to bend, a motorized iris lid 9 attached on a second end 3 of the body 1 for suitable positioning of the finger inside the lid 9 , a telescopic operated rod 14 in order to allow the extension/retraction of the lid 9 and a cushion pad 10 to provide comfort.",IN,G06F /,https://www.wipo.int/ipcpub/?symbol=G06F%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02211E+11,CYCLING TRAINING DEVICE,25.11.2022,"A cycling training device, comprises of a frame 1 established on a surface having first and second portion 2, 3, the first portion 2 is installed with touch interactive display panel 4 for entering details regarding distance to travel and surface upon which user desires to ride, an artificial intelligence based image capturing module 5 mounted on second portion 3 to determine bicycle?™s length, multiple horizontal telescopic links 6 assembled at first portion 2 that extends/retracts as per bicycle?™s length, at least two pairs of vertical telescopic links 7 are assembled on horizontal telescopic links 6 and coupled with roller 8 for positioning bicycle, a pair of robotic arm 9 is assembled on first portion 2 for gripping bicycle and a body harness 10 is attached on second portion 3 via a pneumatic rod 11 that is equipped by user.",IN,G06Q /,https://www.wipo.int/ipcpub/?symbol=G06Q%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02211E+11,SWIMMING TRAINING DEVICE,25.11.2022,"The present invention relates to a swimming training device, comprising of a rectangular platform 1 with first and second portion installed on a ground surface. a telescopically operated rod for providing extension and retraction to the platform 1, a multiple suction cups 3 for adhering the platform 1 to the ground, a elongated member 4 to accommodate a user, a touch-enabled screen 5 permitting the user to give commands, an artificial intelligence enable image 7 for capturing m various images of the user, a pair of wearable unit 8 attached via strings 9 for assisting the user to perform swimming strokes, a motorized slider 10 for providing a user back and forth motion, a holographic projector 12 for projecting visual representation to guide the user for training.",IN,G09B /,https://www.wipo.int/ipcpub/?symbol=G09B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,BASEBALL BATTING TRAINING DEVICE,25.11.2022,"A baseball batting training device comprises of elongated body 1 having an upper 2 and a lower 3 portion, upper portion 2 attached with horizontal telescopic rod 5 having ball 8 of flexible material, artificial intelligence based image capturing module 4 to capture images of the body 1, a freely rotatable bearing 12 to evaluate strength applied by the user, a touch-enabled display panel 6 to allow user to enter details regarding the angle of positioning, motorized ball and socket joint 7 for providing a multidirectional motion to the ball 8, multiple pressure sensors 9 to measure pressure applied by the user on ball 8 , a motorized slider 11 to provide a linear motion to the roller 10, the roller 10 is wrapped with a string 13 to apply pressure on the rod 5 which helps the user in providing training.",IN,F16C /,https://www.wipo.int/ipcpub/?symbol=F16C%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
WO/2022/241607,ARTIFICIAL INTELLIGENCE-BASED PERSONAL HEALTH MANAGEMENT SYSTEM,24.11.2022,"An artificial intelligence-based personal health management system. The system consists of a personal health information acquisition terminal (11), the Internet (12), an artificial intelligence identification subsystem (13), a personal health information storage system (14), and a personal health management system (15). By means of capturing photos by using a mobile phone, a user acquires personal medical health data, such as medical records, medical images and physical examination reports, and uploads same to a personal cloud account for storage; and personal health information is regularly recorded by voice. The cloud-based artificial intelligence identification system (13) identifies, organizes, archives and classifies said personal medical health information. According to the personal health information, the personal health management system (15) manages personal health, e.g., carries out medical advice management, exercise management, and diet management. A mobile phone app is provided on a user terminal. The user can complete various functions, such as registration, login, acquisition, and management, through the mobile phone app.",WO,G16H 10/60,https://www.wipo.int/ipcpub/?symbol=G16H0010600000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220370853,J-SLEEVE SYSTEM,24.11.2022,"The J-Sleeve System provides a system for collecting and analyzing data from the athletic performance of an athlete to provide feedback and advice on preferred movements to produce increased accuracy and efficient in the performance of the athlete and to improve understanding of the competitive landscape. Users would wear the J-sleeve on their arm during workouts, games, back yard skill sessions for which data is desired for analysis with JSS to improve efficiency and performance of user. JSS uses data and artificial intelligence to improve the efficiency of the athletes and their athletic performance. JSS capabilities include athletic movement form replay and accuracy, movement location tracking, fatigue level tracking, social sharing and competition, and a virtual clipboard for developing plays and positioning, and video game integration. The virtual clipboard allows users to draft optimal plays using data to determine the user with the best chance of success.",US,A63B 24/00,https://www.wipo.int/ipcpub/?symbol=A63B0024000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02231E+11,CLIMBING TRAINING DEVICE,18.11.2022,"A climbing training device comprises of a lemniscate shaped platform 1 fabricated with stretchable fabric 2 placed over ground, multiple telescopic rods 3 mapped on the ground surface to lift the platform 1, a pneumatically powered ladder 4 attached side to the platform 1 that extend and retract and allow user to reach to platform 1, a touch enabled display panel 5 mounted over the platform 1 to allow user to enter details regarding shape of surface over which user want to climb, a multiple of motorized rollers wrapped with multiple ropes 6 and each ropes 6 is paired with fabric 2, a harness 7 attached with the telescopic bar mapped over platform 1 through, an artificial intelligence module 9 mounted over platform 1 to capture multiple images of user for monitoring training session of user.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02231E+11,HIGH JUMP TRAINING DEVICE,18.11.2022,"A high jump training device, comprises of a platform 1 positioned over a ground surface, a display screen 2 accessed by a user for providing input, an artificial intelligence (AI) based imaging unit 3 for capturing and processing surrounding images in order to determine height of user while providing input over screen 2, a panel 4 installed with multiple laser lights 5 that projects a beam of laser light in surrounding of platform 1 to form a trajectory for user to trace while running, a pair of rods 6 positioned with a bar 7 via a motorized slider 8 that translate bar 7 along rod 6 to orient bar 7 at an optimum height for user to jump across bar 7 in order to perform high jump after completing trajectory, a speaker 9 for producing voice commands for instructing user to perform high jump in an appropriate manner.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02141E+11,PERFORMANCE MODELING AND ANALYSIS OF ARTIFICIAL INTELLIGENCE (AI) ACCELERATOR ARCHITECTURES,18.11.2022,"ABSTRACTA method includes receiving one or more input Artificial Intelligence (AI) networks, transforming the AI networks into respective graphs including interconnected logical operators, and mapping the graphs onto a design of a hardware accelerator including a plurality of interconnected hardware engines. A performance of running the AI networks on the design of the hardware accelerator is simulated using a petri-net simulation.",IN,G06N /,https://www.wipo.int/ipcpub/?symbol=G06N%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,"RECOGNIZANCE OF ELECTRICAL, MECHANICAL AND THERMAL PARAMETERS IN ELECTRIC TRAINS USING AI & ML",18.11.2022,"An electric locomotive is the one which is powered by the use of electricity from the overhead lines, or a on-board energy storage likely Electro-chemical cell or the super capacitor. These types of the electric locomotives get their benefits from the high efficiency of the electric motors often above the better efficiency of 90%. Adding up to it give the additional efficiency which can be gained from the regenerative braking which allows the kinetic energy to be recovered from the braking system. When the brakes are applied the energy spent in braking is recovered and feed into the motors for the better additional efficiency. The Electrical, Mechanical and Thermal parameters of a train are of a very great importance in bringing into judgment whether the said train is running smoothly and with stability. As the electric locomotives are is quiet when compared to the diesel engines as there is no engine there is no exhaust of noise and mechanical noise. By observing the parameters, we can monitor, control, the parameters by the use of Artificial intelligence and Machine Learning. Here, we present our model which id developed with a wireless monitoring system using Artificial Intelligence and Machine Learning along with the help of sensors and microcontrollers and cutting-edge cloud technology. The wireless monitoring system records all parameters on a train to collect all the needed information and with the help of a microprocessor/microcontroller and Artificial Intelligence and Machine Learning a decision is made on the possible outcomes and which outcome gives us the best usability in the system or to put it simply, higher efficiency. A test phase was initiated in a lab under a controlled environment with a mockup model and the error from the results of test phases was less than 2%. This model can be expected to play a vital role in the real-time monitoring of railway trains in the future to come.",IN,G06N /,https://www.wipo.int/ipcpub/?symbol=G06N%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
